,Q2,Q3,Q4,Q5,Q6,Q6_22_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q12_4_TEXT,Q13,Q13_6_TEXT,Q14,Q14_8_TEXT,Q15
318,1,1,4,3,11,,,,,,,,,,,,,,,
320,1,2,,,,,,,,,,,,,,,,,,
321,2,3,4,1,18,,Climate change!!! ,6,none,1,2,2,,1,,,,,,
326,4,2,4,3,18,,Increase investment in education ,1,,2,4,2,,1,,1,,3,,
327,2,1,4,3,5,,,,,,,,,,,,,,,
328,2,1,4,2,10,,Health care ,,,,,,,,,,,,,
329,4,4,4,2,16,,,,,,,,,,,,,,,
330,1,2,,,,,,,,,,,,,,,,,,
332,2,1,4,2,5,,,,,,,,,,,,,,,
333,4,1,4,3,,,,,,,,,,,,,,,,
