Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Social Sciences,Woman,Asian,19,,,,Other,Volunteering,,,,,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,7,Once or twice a month,Once or twice a year,Never,Moderately important,Slightly important,Moderately important,Not important,Not important,Not important,Not important,Not important,Moderately important,Not important,Not important,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,Asian,20,Yes,Absentee / mail ballot,3rd party,Scared,Community engagement,,,No; I do not know how,Mostly Republicans,I do not remember,No,Somewhat agree,Strongly disagree,Strongly disagree,7,Every couple of days,Once a week,Never,Important,Slightly important,Moderately important,Important,Important,Very important,Moderately important,Very important,Slightly important,Slightly important,Not important,,Very knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Community engagement,,1,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Somewhat agree,Neutral,2,Once a week,Every couple of days,Once or twice a year,Important,Very important,Important,Very important,Slightly important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Moderately knowledgeable
Social Sciences,Man,Mexican American/Chicanx,21,Yes,Polling station,Clinton,Other,Voting,,,Yes; it was counted,A mix of candidates,No,No,Strongly agree,Strongly agree,Neutral,6,Once a week,Every couple of days,Never,Very important,Very important,Moderately important,Important,Very important,Moderately important,Important,Moderately important,Important,Slightly important,Very important,Free speech ,Moderately knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every day,Once or twice a year,Important,Very important,Very important,Important,Slightly important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Mostly Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,3,Every day,Every day,Once or twice a month,Important,Very important,Important,Very important,Important,Very important,Very important,Important,Very important,Important,,,Extremely knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,No; I do not know how,Mostly Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,4,Once or twice a month,Once a week,Never,Important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Important,Important,Moderately important,Moderately important,,,Not knowledgeable at all,Slightly knowledgeable
Life Sciences,Woman,White,20,,,,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,No,No,Strongly agree,Strongly disagree,Strongly disagree,4,Every day,Every day,Never,Important,Very important,Very important,Important,Slightly important,Moderately important,Very important,Moderately important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Other",Community engagement,,,Yes; it was not counted,Only Democrats,I do not remember,Yes,Strongly agree,Strongly agree,Neutral,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Slightly knowledgeable
Life Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry,Other",Volunteering,,,No; I do not know how,Only Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat disagree,3,Once a week,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Gender queer,Asian,18,,,,Scared,Community engagement,,3,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,3,Once or twice a month,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,,Slightly knowledgeable,Moderately knowledgeable
Life Sciences,Man,Other,19,,,,"Excited,Hopeful",Community engagement,,4,Yes; it was counted,Only Democrats,Yes,No,Somewhat agree,Neutral,Somewhat agree,2,Once or twice a month,Once a week,Once or twice a month,Important,Moderately important,Important,Very important,Moderately important,Very important,Very important,Moderately important,Very important,Very important,Important,Rent Control,Slightly knowledgeable,Slightly knowledgeable
Life Sciences,Woman,Asian,19,,,,Scared,Volunteering,,,,,No,No,Strongly agree,Somewhat disagree,Somewhat disagree,4,Once a week,Every couple of days,Never,Very important,Important,Important,Very important,Moderately important,Very important,Very important,Moderately important,Slightly important,Not important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Man,Asian,19,,,,"Sad,Scared",Community engagement,,,,,No,No,Neutral,Neutral,Neutral,5,Once or twice a year,Once a week,Never,Very important,Important,Important,Very important,Very important,Very important,Important,Important,Important,Moderately important,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Man,White,18,,,,Other,Voting,,1,No; I did not check,Only Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,3,Once a week,Every couple of days,Never,Important,Moderately important,Moderately important,Important,Very important,Very important,Important,Moderately important,Slightly important,Slightly important,,,Moderately knowledgeable,Slightly knowledgeable
Arts & Humanities,Man,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Other",Community engagement,,1,No; I do not know how,Only Democrats,No,No,Strongly agree,Somewhat agree,Somewhat disagree,4,Once a week,Every day,Once or twice a year,Important,Important,Important,Very important,Slightly important,Important,Very important,Very important,Important,Moderately important,,,Not knowledgeable at all,Slightly knowledgeable
Physical Sciences/Mathematics,Man,Asian,18,,,,"Sad,Scared,Angry",Volunteering,,3,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Somewhat agree,Somewhat disagree,1,Once or twice a year,Once or twice a year,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Slightly important,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,White,19,,,,"Sad,Scared",Volunteering,,,Yes; it was counted,Mostly Democrats,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,4,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,
Arts & Humanities,Woman,White,19,,,,"Sad,Scared,Angry",Volunteering,,1,Yes; it was counted,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Somewhat agree,2,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Life Sciences,Woman,Asian,19,,,,"Sad,Scared,Angry,Other",Community engagement,,,No; I did not check,Mostly Democrats,I do not remember,No,Strongly agree,Somewhat agree,Neutral,3,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Other Hispanic/Latinx,21,Yes,Absentee / mail ballot,Clinton,Other,Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Neutral,Somewhat disagree,Strongly disagree,6,Once or twice a month,Once a week,Once or twice a month,Very important,Very important,Important,Important,Moderately important,Very important,Very important,Slightly important,Important,Important,Not important,None,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,I do not remember,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Somewhat agree,Somewhat agree,2,Every couple of days,Every couple of days,Once or twice a month,Very important,Important,Very important,Moderately important,Moderately important,Important,Important,Slightly important,Important,Important,,,Moderately knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Mexican American/Chicanx,21,No,,,Sad,Community engagement,,4,No; I do not know how,Only Democrats,No,No,Neutral,Somewhat agree,Somewhat agree,1,Every day,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,White,20,,,,Other,Community engagement,,1,No; I did not check,A mix of candidates,I do not remember,No,Strongly agree,Strongly disagree,Strongly disagree,7,Every day,Every day,Never,Very important,Slightly important,Important,Not important,Very important,Very important,Very important,Very important,Not important,Not important,Moderately important,,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Man,Asian,19,,,,"Sad,Scared",Volunteering,,,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat disagree,Strongly disagree,4,Every couple of days,Every couple of days,Every couple of days,Important,Important,Important,Important,Important,Important,Very important,Moderately important,Important,Important,Important,Foreign affairs ,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,Asian,20,,,,"Sad,Scared",Community engagement,,1,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,3,Once a week,Once a week,Never,Very important,Very important,Very important,Important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Physical Sciences/Mathematics,Woman,Asian,20,Yes,Absentee / mail ballot,Clinton,"Sad,Angry",Voting,,3,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,2,Once a week,Every couple of days,Never,Very important,Very important,Very important,Important,Moderately important,Very important,Important,Important,Very important,Very important,Moderately important,,Extremely knowledgeable,Extremely knowledgeable
Physical Sciences/Mathematics,Man,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Neutral,3,Once or twice a month,Once a week,Never,Very important,Important,Important,Important,Important,Very important,Important,Very important,Very important,Important,,,Slightly knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Asian,19,,,,"Scared,Angry",Volunteering,,3,Yes; it was counted,Mostly Democrats,No,No,Somewhat disagree,Neutral,Neutral,3,Once a week,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Important,Very important,Important,Important,Very important,,,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Asian,18,,,,"Sad,Other",Volunteering,,2,No; I do not know how,Mostly Democrats,No,No,Strongly agree,Strongly agree,Strongly agree,3,Once a week,Every couple of days,Never,Very important,Moderately important,Important,Important,Moderately important,Moderately important,Very important,Slightly important,Very important,Important,,,Moderately knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Asian,20,Yes,Absentee / mail ballot,3rd party,Scared,Volunteering,,,No; I do not know how,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Important,Important,Slightly important,Very important,Very important,Important,Important,Important,Moderately important,World standing,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Asian,20,Yes,Polling station,,Angry,Community engagement,,,No; I do not know how,,No,I did not have class that day,Neutral,Somewhat disagree,Somewhat disagree,5,Once a week,Every couple of days,Never,Very important,,Very important,,,,Very important,,Very important,,,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Man,African American/Black,21,Yes,Absentee / mail ballot,Clinton,"Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,2,Every couple of days,Once a week,Never,Very important,Very important,Very important,Important,Moderately important,Important,Important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Social Sciences,Woman,Mixed Race,20,Yes,Polling station,Trump,"Happy,Scared",Community engagement,,,,,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,5,Every couple of days,Every couple of days,Every couple of days,Important,Important,Very important,Moderately important,Moderately important,Very important,Important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Life Sciences,Man,White,19,,,,"Sad,Angry",Other,shooting TERFs,5,No; I did not check,Only Democrats,No,No,Somewhat agree,Strongly disagree,Strongly disagree,1,Every day,Every day,Never,Very important,Important,Important,Important,Moderately important,Important,Slightly important,Important,Very important,Very important,,,Extremely knowledgeable,Extremely knowledgeable
Engineering/Computer Science,Woman,Asian,19,,,,"Sad,Scared,Angry",Community engagement,,1,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,3,Once or twice a month,Once or twice a month,Once or twice a month,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Social Sciences,Man,Asian,20,Yes,Polling station,Clinton,Sad,Community engagement,,,,,Yes,I do not remember,Strongly agree,Somewhat agree,Neutral,5,Never,Once a week,Never,Very important,Important,Important,Important,Important,Very important,Moderately important,Slightly important,Important,Moderately important,,,Not knowledgeable at all,Not knowledgeable at all
Arts & Humanities,Woman,Asian,18,,,,Scared,Volunteering,,2,No; I do not know how,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,4,Never,Once or twice a year,Never,Important,Important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Not knowledgeable at all,Slightly knowledgeable
Arts & Humanities,Woman,White,20,Yes,Absentee / mail ballot,Clinton,Scared,Donating money,,4,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat agree,Neutral,Somewhat disagree,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Important,Important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Mixed Race,20,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,,,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Once or twice a month,Once or twice a month,Once or twice a year,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Not knowledgeable at all
Arts & Humanities,Woman,Native American/Alaska Native,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Neutral,1,Every day,Every day,Once or twice a year,Slightly important,Important,Very important,Moderately important,Moderately important,Moderately important,Important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Community engagement,,,,,Yes,Yes,Neutral,Somewhat agree,Somewhat agree,3,Once or twice a month,Every couple of days,Never,Very important,Very important,Very important,Very important,Important,Important,Important,Moderately important,Important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Woman,Asian,19,,,,"Scared,Other",Volunteering,,2,No; I did not check,Mostly Democrats,Yes,No,Strongly agree,Neutral,Neutral,3,Once or twice a month,Once or twice a month,Once or twice a year,Important,Important,Very important,Very important,Moderately important,Important,Moderately important,Moderately important,Very important,Important,,,Slightly knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,White,20,Yes,Absentee / mail ballot,Clinton,Sad,Community engagement,,,No; I did not check,Only Democrats,No,No,Strongly agree,Strongly agree,Neutral,1,Once a week,Once a week,Once or twice a year,Important,Important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Moderately important,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,25+,Yes,Polling station,Clinton,Scared,Volunteering,,1,Yes; it was counted,Only Democrats,Yes,I did not have class that day,Somewhat agree,Strongly agree,Strongly disagree,2,Every day,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Life Sciences,Woman,African American/Black,19,,,,"Sad,Scared,Angry",Voting,,,No; I do not know how,Mostly Democrats,Yes,No,Strongly agree,Strongly agree,Neutral,3,Once or twice a month,Once or twice a month,Once or twice a year,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,International Relations ,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Woman,Asian,19,,,,Sad,Community engagement,,2,No; I did not check,Mostly Democrats,I do not remember,Yes,Somewhat agree,Neutral,Neutral,4,Once a week,Every couple of days,Once or twice a year,Very important,Important,Important,Important,Very important,Important,Important,Important,Important,Important,,,Very knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,3,No; I did not check,Only Democrats,Yes,No,Neutral,Somewhat agree,Neutral,2,Once a week,Every couple of days,Once or twice a month,Very important,Very important,Very important,Very important,Important,Important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Not knowledgeable at all
Arts & Humanities,Woman,White,23,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,No,No,Strongly agree,Somewhat agree,Strongly agree,6,Every couple of days,Every couple of days,Every day,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Public Education,Extremely knowledgeable,Extremely knowledgeable
Arts & Humanities,Woman,White,25+,Yes,Polling station,Clinton,"Sad,Scared",Voting,,,No; I did not check,Only Democrats,No,No,Neutral,Strongly disagree,Strongly disagree,4,Every day,Every day,Never,Moderately important,Very important,Important,Important,Moderately important,Very important,Important,Moderately important,Moderately important,Moderately important,,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,2,No; I do not know how,Mostly Democrats,Yes,No,Somewhat agree,Somewhat agree,Neutral,3,Every day,Every couple of days,Once a week,Very important,Important,Important,Important,Important,Important,Very important,Important,Important,Important,Moderately important,Drug policy ,Moderately knowledgeable,Very knowledgeable
Business,Man,Mixed Race,19,,,,Other,Community engagement,,3,No; I did not check,A mix of candidates,I do not remember,I do not remember,Neutral,Neutral,Neutral,7,Once or twice a year,Once or twice a month,Never,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Moderately important,Fairness ,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Asian,19,,,,Scared,Volunteering,,,,,No,No,Somewhat agree,Somewhat agree,Somewhat disagree,4,Once or twice a month,Once or twice a month,Never,Important,Important,Very important,Moderately important,Important,Moderately important,Very important,Important,Important,Moderately important,Important,Recycling/Environmental Heath,Not knowledgeable at all,Not knowledgeable at all
Business,Man,White,22,Yes,Polling station,3rd party,Other,Community engagement,,,,,I do not remember,No,Somewhat disagree,Somewhat disagree,Strongly disagree,4,Once or twice a month,Once or twice a month,Once or twice a year,Important,Moderately important,Slightly important,Slightly important,Moderately important,Important,Moderately important,Moderately important,Slightly important,Not important,Not important,,Not knowledgeable at all,Not knowledgeable at all
Physical Sciences/Mathematics,Man,Decline to state,25+,Yes,Absentee / mail ballot,Clinton,Scared,Community engagement,,,No; I did not check,Only Democrats,I do not remember,No,Somewhat agree,Strongly agree,Strongly agree,1,Every couple of days,Every couple of days,Every day,Very important,Important,Important,Important,Slightly important,Important,Moderately important,Very important,Very important,Important,Very important,Civil rights/Free speech,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Other,25+,Yes,Absentee / mail ballot,Clinton,"Scared,Angry,Other",Volunteering,,1,,,No,No,Somewhat agree,Somewhat agree,Strongly disagree,3,Once a week,Every couple of days,Never,Very important,Very important,Very important,Moderately important,Important,Important,Slightly important,Important,Important,Important,,,Not knowledgeable at all,Not knowledgeable at all
Physical Sciences/Mathematics,Woman,White,19,,,,"Sad,Scared,Angry",Community engagement,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Strongly agree,2,Once a week,Once a week,Never,Very important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Social Sciences,Man,White,25+,No,I do not remember,,Other,Volunteering,,1,Yes; it was not counted,A mix of candidates,Yes,Yes,Strongly agree,Strongly agree,Neutral,4,Every day,Every day,Every day,Important,Important,Very important,Very important,Important,Moderately important,Slightly important,Very important,Very important,Very important,Very important,"Global security, refugee crisis ",Very knowledgeable,Moderately knowledgeable
Arts & Humanities,Man,Mexican American/Chicanx,19,,,,Other,Volunteering,,1,No; I did not check,A mix of candidates,No,No,Somewhat agree,Strongly agree,Strongly agree,7,Never,Once or twice a month,Never,Very important,Very important,Very important,Moderately important,Important,Important,Important,Very important,Very important,Moderately important,Important,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Woman,Other,25+,Yes,Polling station,Clinton,"Sad,Scared,Other",Voting,,,Yes; it was counted,Mostly Democrats,No,No,Neutral,Somewhat disagree,Neutral,4,Every couple of days,Every couple of days,Never,Not important,Very important,Moderately important,Moderately important,Very important,Very important,Moderately important,Slightly important,Slightly important,Very important,Very important,Housing,Very knowledgeable,Very knowledgeable
Engineering/Computer Science,Woman,Asian,18,,,,Scared,Community engagement,,1,No; I did not check,Only Democrats,No,No,Somewhat agree,Somewhat agree,Somewhat agree,2,Once a week,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,, ,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,21,,,,Other,Community engagement,,,,,Yes,No,Strongly agree,Somewhat disagree,Neutral,4,Once or twice a month,Once a week,Never,Important,Very important,Important,Moderately important,Important,Very important,Very important,Moderately important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Woman,White,18,,,,Angry,Community engagement,,,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,3,Every day,Every day,Never,Very important,Very important,Very important,Very important,Important,Important,Very important,Important,Very important,Very important,Very important,Education policy,Very knowledgeable,Very knowledgeable
Social Sciences,Man,White,21,Yes,Absentee / mail ballot,Clinton,Angry,Donating money,,,No; I do not know how,Only Democrats,I do not remember,I did not have class that day,Strongly agree,Strongly agree,Strongly agree,1,Every day,Every day,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Extremely knowledgeable,Extremely knowledgeable
Arts & Humanities,Man,Mixed Race,22,Yes,Absentee / mail ballot,Trump,"Hopeful,Other",Voting,,,No; I do not know how,Mostly Republicans,No,No,Strongly agree,Strongly disagree,Strongly disagree,8,Once a week,Every couple of days,Never,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Slightly important,Important,Moderately important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,White,21,Yes,Polling station,Clinton,"Sad,Scared,Angry",Voting,,,No; I do not know how,A mix of candidates,Yes,No,Strongly agree,Neutral,Somewhat disagree,6,Every day,Every day,Once or twice a year,Important,Important,Important,Important,Very important,Very important,Very important,Important,Important,Important,Slightly important,Campaign Finance reform,Very knowledgeable,Not knowledgeable at all
Life Sciences,Man,Asian,20,,,,Other,Donating money,,,,,I do not remember,No,Somewhat agree,Somewhat disagree,Somewhat disagree,5,Once or twice a month,Every couple of days,Never,Important,Important,Important,Slightly important,Slightly important,Important,Very important,Not important,Important,Not important,,,Not knowledgeable at all,Not knowledgeable at all
Social Sciences,Man,Asian,19,,,,"Sad,Scared",Community engagement,,3,No; I did not check,Mostly Democrats,No,No,Somewhat agree,Strongly disagree,Strongly disagree,4,Once a week,Every day,Once or twice a year,Important,Important,Very important,Moderately important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Not important,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Other Hispanic/Latinx,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Volunteering,,,No; I did not check,Mostly Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,2,Every couple of days,Every couple of days,Never,Very important,Important,Very important,Very important,Moderately important,Very important,Very important,Important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mexican American/Chicanx,19,,,,Sad,Voting,,1,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Somewhat disagree,Neutral,4,Once a week,Every couple of days,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Extremely knowledgeable,Extremely knowledgeable
Social Sciences,Woman,White,19,,,,"Sad,Scared,Angry",Volunteering,,1,No; I do not know how,Only Democrats,I do not remember,Yes,Strongly agree,Strongly agree,Strongly disagree,3,Every couple of days,Once a week,Once or twice a month,Very important,Very important,Very important,Very important,Slightly important,Very important,Moderately important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Social Sciences,Man,Asian,19,,,,"Sad,Scared,Angry",Volunteering,,1,No; I do not know how,Only Democrats,Yes,No,Strongly agree,Strongly agree,Neutral,1,Every day,Every couple of days,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Hypepartisanship ,Very knowledgeable,Very knowledgeable
Social Sciences,Woman,Asian,19,,,,Angry,Voting,,1,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Strongly agree,Strongly agree,2,Every day,Every day,Once a week,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Social Sciences,Woman,Mixed Race,19,,,,"Sad,Scared,Angry",Community engagement,,2,No; I did not check,Mostly Democrats,I do not remember,I do not remember,Strongly agree,Somewhat agree,Strongly agree,3,Every couple of days,Every day,Never,Important,Very important,Very important,Very important,Important,Very important,Very important,Important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Physical Sciences/Mathematics,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Community engagement,,,No; I do not know how,Only Democrats,No,No,Strongly agree,Strongly agree,Strongly agree,1,Every day,Every day,Once a week,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,Asian,20,Yes,Polling station,Clinton,Scared,Community engagement,,2,No; I do not know how,Mostly Democrats,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,3,Once or twice a month,Every couple of days,Never,Important,Important,Important,Very important,Important,Important,Moderately important,Moderately important,Very important,Very important,,,Not knowledgeable at all,Not knowledgeable at all
Engineering/Computer Science,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,No,Yes,Strongly agree,Somewhat agree,Somewhat disagree,2,Every couple of days,Every couple of days,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Moderately knowledgeable
Business,Woman,Asian,20,,,,Other,Community engagement,,,,,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,4,Once or twice a year,Once or twice a month,Never,Important,Important,Important,Slightly important,Moderately important,Important,Important,Not important,Moderately important,Moderately important,Not important,,Moderately knowledgeable,Moderately knowledgeable
Arts & Humanities,Woman,Other,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,2,No; I did not check,Only Democrats,No,No,Strongly agree,Strongly agree,Somewhat agree,1,Every day,Every day,Never,Very important,Very important,Important,Very important,Moderately important,Important,Important,Moderately important,Very important,Very important,,,Slightly knowledgeable,Slightly knowledgeable
Social Sciences,Woman,White,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,,No; I did not check,Only Democrats,Yes,No,Somewhat agree,Strongly agree,Somewhat agree,2,Once a week,Once a week,Never,Moderately important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Slightly knowledgeable,Moderately knowledgeable
